"ActivityLabel","SubjectID","1 tBodyAcc-mean()-X","2 tBodyAcc-mean()-Y","3 tBodyAcc-mean()-Z","41 tGravityAcc-mean()-X","42 tGravityAcc-mean()-Y","43 tGravityAcc-mean()-Z","81 tBodyAccJerk-mean()-X","82 tBodyAccJerk-mean()-Y","83 tBodyAccJerk-mean()-Z","121 tBodyGyro-mean()-X","122 tBodyGyro-mean()-Y","123 tBodyGyro-mean()-Z","161 tBodyGyroJerk-mean()-X","162 tBodyGyroJerk-mean()-Y","163 tBodyGyroJerk-mean()-Z","201 tBodyAccMag-mean()","214 tGravityAccMag-mean()","227 tBodyAccJerkMag-mean()","240 tBodyGyroMag-mean()","253 tBodyGyroJerkMag-mean()","266 fBodyAcc-mean()-X","267 fBodyAcc-mean()-Y","268 fBodyAcc-mean()-Z","345 fBodyAccJerk-mean()-X","346 fBodyAccJerk-mean()-Y","347 fBodyAccJerk-mean()-Z","424 fBodyGyro-mean()-X","425 fBodyGyro-mean()-Y","426 fBodyGyro-mean()-Z","503 fBodyAccMag-mean()","516 fBodyBodyAccJerkMag-mean()","529 fBodyBodyGyroMag-mean()","542 fBodyBodyGyroJerkMag-mean()","4 tBodyAcc-std()-X","5 tBodyAcc-std()-Y","6 tBodyAcc-std()-Z","44 tGravityAcc-std()-X","45 tGravityAcc-std()-Y","46 tGravityAcc-std()-Z","84 tBodyAccJerk-std()-X","85 tBodyAccJerk-std()-Y","86 tBodyAccJerk-std()-Z","124 tBodyGyro-std()-X","125 tBodyGyro-std()-Y","126 tBodyGyro-std()-Z","164 tBodyGyroJerk-std()-X","165 tBodyGyroJerk-std()-Y","166 tBodyGyroJerk-std()-Z","202 tBodyAccMag-std()","215 tGravityAccMag-std()","228 tBodyAccJerkMag-std()","241 tBodyGyroMag-std()","254 tBodyGyroJerkMag-std()","269 fBodyAcc-std()-X","270 fBodyAcc-std()-Y","271 fBodyAcc-std()-Z","348 fBodyAccJerk-std()-X","349 fBodyAccJerk-std()-Y","350 fBodyAccJerk-std()-Z","427 fBodyGyro-std()-X","428 fBodyGyro-std()-Y","429 fBodyGyro-std()-Z","504 fBodyAccMag-std()","517 fBodyBodyAccJerkMag-std()","530 fBodyBodyGyroMag-std()","543 fBodyBodyGyroJerkMag-std()"
"1","LAYING","1",3592.1,3544.9,3191.54,654.64,6480.14,5002.48,4190,3666.28,3492.9,3823.72,4182.46,3716.26,3513.24,3485.84,3353.3,4200.54,4200.54,5023.18,4420.42,5488.52,4232.04,4391.44,4947.96,4504.12,4974.62,5313.68,5063.06,5493.62,4601.5,4363.18,4714.94,4872.46,5263.46,4088.38,4166.72,4886.14,3659.18,4644.62,4450.06,4375.72,4759.1,5372.96,4898.9,5314.2,4656.28,5282.96,5594.62,5156.56,4640.3,4640.3,4766.96,4940,5216.38,4038.96,4287.02,4780.62,4491.52,4720.16,5397.96,4850.84,5198.7,4734.9,4973.14,4737.36,4896.68,5204.86
"2","LAYING","10",1468.75862068966,1036.94827586207,870.534482758621,339.758620689655,2232.48275862069,1675.29310344828,2023.63793103448,1691.94827586207,1448.1724137931,1297.91379310345,1470.94827586207,2082.3275862069,1400.62068965517,1385.44827586207,1422.12068965517,1978.10344827586,1978.10344827586,2016.36206896552,2002.03448275862,1920.75862068966,1868.13793103448,1828.96551724138,2258.96551724138,1887.8275862069,2031.48275862069,2197.46551724138,2104.31034482759,2013.24137931034,2226.22413793103,1900.70689655172,1836.51724137931,2016.91379310345,1860.86206896552,1873.34482758621,1778.75862068966,2248.18965517241,1747.36206896552,2217.5,2292.77586206897,1819.75862068966,1976.77586206897,2198.53448275862,2209.24137931034,2040.13793103448,2253.24137931034,2084.24137931034,1901.36206896552,2236.96551724138,2007.55172413793,2007.55172413793,1823.84482758621,2057.5,1860.36206896552,1854.44827586207,1896.77586206897,2304.60344827586,1821.43103448276,1974.44827586207,2180.31034482759,2223.13793103448,2054.05172413793,2298.6724137931,2210.12068965517,1819.55172413793,2150.79310344828,1872
"3","LAYING","11",3809.36842105263,2104.19298245614,2513.15789473684,81.0175438596491,7200.63157894737,4613.98245614035,5066.84210526316,4373.50877192982,4185.64912280702,3125.35087719298,4847.24561403509,4691.38596491228,3155.28070175439,3929.47368421053,3350.56140350877,5006.29824561404,5006.29824561404,5513.0350877193,5367.0701754386,6139.05263157895,5054.21052631579,4736.54385964912,5486.77192982456,5411.91228070175,5143.54385964912,5490.47368421053,5570,5961.77192982456,5144.0350877193,5088.87719298246,4998.45614035088,5698.49122807018,5981.19298245614,4912.63157894737,4571.98245614035,5290,5116.1052631579,6192.87719298246,5867.15789473684,5305.29824561404,4899.31578947368,5522.87719298246,5709.0350877193,5841.26315789474,5290.0350877193,5758.84210526316,6408.78947368421,5490.68421052632,5213.43859649123,5213.43859649123,5081.70175438596,5564.29824561404,5946.68421052632,4842.50877192982,4842.75438596491,5291.42105263158,5436.43859649123,4799.85964912281,5507.56140350877,5722.98245614035,5756.24561403509,5394.01754385965,5710.98245614035,5122.75438596491,5672.43859649123,5947
"4","LAYING","12",1397.56666666667,1051.45,1295.43333333333,266.55,2725,1416.3,1876.73333333333,1629.7,1379.58333333333,1351.93333333333,1493.88333333333,1928.61666666667,1172.88333333333,1312.85,1298.7,1657.45,1657.45,1784.96666666667,1867.31666666667,1823.66666666667,1522.6,1637.95,1959.81666666667,1608.08333333333,1747.03333333333,1964.51666666667,1935.1,1817.51666666667,1822.26666666667,1641.03333333333,1649.53333333333,1934.65,1817.38333333333,1509.28333333333,1645.56666666667,1943.41666666667,1155.68333333333,2041.21666666667,1873.78333333333,1570.06666666667,1689.66666666667,1969.48333333333,2050.05,1870.76666666667,1887.05,1905.43333333333,1741.86666666667,1782.08333333333,1735.83333333333,1735.83333333333,1631.7,1952.11666666667,1803.83333333333,1498.71666666667,1775.06666666667,1958.98333333333,1613.51666666667,1686.4,1961.86666666667,2070,1902.9,1950.78333333333,1938.31666666667,1614.38333333333,2015,1795.93333333333
"5","LAYING","13",1332.58064516129,962.645161290323,994.822580645161,74.4838709677419,2572.90322580645,2326.37096774194,2017.79032258065,1651.54838709677,1360.46774193548,1429.11290322581,1524.29032258065,1888.32258064516,1457.64516129032,1288.16129032258,1400.35483870968,1846.56451612903,1846.56451612903,2187.75806451613,1949.08064516129,2164.11290322581,1871.83870967742,1841.98387096774,2127.61290322581,2034.79032258065,2210.37096774194,2208.51612903226,2093.1935483871,2063.96774193548,2233.87096774194,1903.88709677419,2009.14516129032,2119.32258064516,2076.82258064516,1756.93548387097,1620.32258064516,1991.53225806452,1536.20967741935,1973.93548387097,1907.61290322581,1983.25806451613,2153.12903225806,2193.45161290323,2096.1935483871,2001.53225806452,2187.8064516129,2285.03225806452,1962.1935483871,2357.04838709677,1872.35483870968,1872.35483870968,1975.72580645161,2096.85483870968,2002.56451612903,1715.74193548387,1700.5,1968.12903225806,2007.16129032258,2139.40322580645,2155.24193548387,2083.72580645161,1976.29032258065,2217.22580645161,2022.01612903226,1937.77419354839,2134.98387096774,1931.3064516129
"6","LAYING","14",4189.23529411765,3188.01960784314,3407.82352941176,525.549019607843,5884.09803921569,6697.72549019608,4854.62745098039,3491.03921568627,3852.47058823529,3767.1568627451,3071.13725490196,4230.82352941176,2703.80392156863,3909.78431372549,3560.17647058824,3403.66666666667,3403.66666666667,4349.29411764706,4067.01960784314,4536.3137254902,3508.01960784314,3331.37254901961,4344.03921568627,4072.54901960784,4436.64705882353,4583.21568627451,4287.74509803922,4121.11764705882,4681.17647058824,3928.64705882353,4248.8431372549,4369.60784313726,4523.88235294118,3293.56862745098,2879.78431372549,4226.29411764706,3152.86274509804,4142.72549019608,4635.3137254902,3950.50980392157,4251.13725490196,4664.11764705882,4365.49019607843,3988.72549019608,4820.01960784314,4548.07843137255,4357.8431372549,5071.25490196078,3903.94117647059,3903.94117647059,4335.25490196078,4289.56862745098,4560.33333333333,3325.72549019608,3098.60784313725,4217.54901960784,4089.62745098039,4275.70588235294,4771.76470588235,4366.37254901961,3893.23529411765,4918.39215686274,4343.86274509804,4416.66666666667,4431.07843137255,4686.74509803922
"7","LAYING","15",3652.79166666667,2559.43055555556,3080.27777777778,422.388888888889,7056.45833333333,3376.79166666667,4850.25,4061.94444444444,3578.63888888889,3276.58333333333,4014.61111111111,4846.63888888889,3371.33333333333,3418.29166666667,3504,4314.58333333333,4314.58333333333,4944.27777777778,4824.75,5287.84722222222,4410.23611111111,4326.29166666667,4804.09722222222,4858.72222222222,4775.93055555556,4955.22222222222,4887.375,5126.43055555556,4908.45833333333,4407.15277777778,4563.88888888889,5015.41666666667,5148.56944444444,4288.625,4225.63888888889,4514.97222222222,4054.86111111111,5559.40277777778,4446.66666666667,4763.55555555556,4558.23611111111,5004.77777777778,5021.19444444444,5019.81944444444,5048.98611111111,5038.29166666667,5270.48611111111,5098.86111111111,4512.29166666667,4512.29166666667,4616.70833333333,4849.75,5119.15277777778,4244.95833333333,4528.31944444444,4486.33333333333,4929.20833333333,4514.90277777778,5071.15277777778,5031.51388888889,4938.31944444444,5151.06944444444,4997.81944444444,4634.30555555556,4944.95833333333,5123.375
"8","LAYING","16",3722,2957.41428571429,2932.42857142857,917.214285714286,5097.44285714286,6955.11428571429,5088.64285714286,4055.38571428571,3499.44285714286,2958.62857142857,3528.71428571429,5169.81428571429,3331.57142857143,3468.38571428571,3626.85714285714,3597.88571428571,3597.88571428571,5208.32857142857,4701.74285714286,5253.35714285714,4127.85714285714,3865.21428571429,5237.84285714286,4735.9,5312.1,5490.07142857143,4892.51428571429,4909.25714285714,5746.74285714286,4381.1,4985.25714285714,5086.94285714286,5081.17142857143,3786.1,3109.44285714286,4770.77142857143,3618.84285714286,3985.32857142857,4991.48571428571,4547.4,5125.97142857143,5531.22857142857,4902.28571428571,4733.74285714286,5710.11428571429,4942.38571428571,5045.65714285714,6209.42857142857,4184.62857142857,4184.62857142857,5080.54285714286,5010.3,5037.67142857143,3673.61428571429,3240,4695.24285714286,4590.72857142857,5127.42857142857,5561.95714285714,4881.91428571429,4629.64285714286,5747.77142857143,4557.8,5177.52857142857,5143.81428571429,5040.54285714286
"9","LAYING","17",3503.85915492958,3850.3661971831,4241.14084507042,232.211267605634,6343.40845070423,6260.47887323944,4816.69014084507,3727.28169014085,3276.11267605634,3077.7323943662,3312.91549295775,4679.05633802817,3461.53521126761,3454.83098591549,3350.21126760563,3615.81690140845,3615.81690140845,5240.61971830986,5029.22535211268,5570.60563380282,4505.87323943662,4063.43661971831,4762.35211267606,4827.21126760563,5358.05633802817,5396.12676056338,5313.39436619718,5473.57746478873,5764.87323943662,4392.29577464789,4929.92957746479,5574.35211267606,5549.54929577465,4279.56338028169,3620.64788732394,4392.08450704225,3815.33802816901,3594.39436619718,3669.83098591549,4641.64788732394,5130.83098591549,5401.97183098592,5374.77464788732,5332.01408450704,5766.59154929577,5389.15492957746,5304.15492957746,6101,4155.14084507042,4155.14084507042,5011.98591549296,5320.2676056338,5474.87323943662,4189.97183098592,3799.22535211268,4360.08450704225,4682.50704225352,5050.59154929577,5377.67605633803,5359.46478873239,5244.70422535211,5804.71830985915,4535.84507042254,5082.38028169014,5381.7323943662,5406.12676056338
"10","LAYING","18",1466.41538461538,848.6,648.630769230769,88.8461538461538,2625.52307692308,2366.41538461538,2131.58461538462,1821.29230769231,1380.47692307692,1044.10769230769,1547.66153846154,2040.56923076923,1691.2,1319.49230769231,1453.92307692308,2231.23076923077,2231.23076923077,2257.89230769231,2397.10769230769,2517.13846153846,1939.18461538462,2153.61538461538,2583.83076923077,1969.21538461538,2264.12307692308,2526,2601.03076923077,2412.16923076923,2397.04615384615,2209.75384615385,2122.84615384615,2499.18461538462,2461.2,1916.84615384615,2106.70769230769,2537.21538461538,1849.01538461538,2538.53846153846,2525.63076923077,1906.32307692308,2179.55384615385,2535.55384615385,2626.41538461538,2400.75384615385,2417.76923076923,2731.06153846154,2366.86153846154,2426.55384615385,2266.12307692308,2266.12307692308,2127.49230769231,2499.50769230769,2462.41538461538,1894.32307692308,2195.61538461538,2514.67692307692,1916.27692307692,2127.41538461538,2521.61538461538,2608.89230769231,2387.8,2453.4,2453.84615384615,2138.75384615385,2548.8,2472.04615384615
"11","LAYING","19",3220.28915662651,2613.10843373494,1922.20481927711,1161.4578313253,6524.8313253012,6128.8313253012,4935.78313253012,4368.61445783133,3554.72289156626,2610.51807228916,3704.46987951807,4929.69879518072,3502.25301204819,3273.28915662651,3450.3734939759,4088.59036144578,4088.59036144578,4590.09638554217,4645.60240963855,4682.59036144578,3896.56626506024,4092.71084337349,5660.66265060241,4188,4359.38554216867,5467.73493975904,4921.65060240964,4606.10843373494,4819.09638554217,4395.84337349398,4247.86746987952,4920.0843373494,4617.98795180723,3717.32530120482,4062.15662650602,5530.14457831325,3431.79518072289,5585.78313253012,6129.69879518072,4093.15662650602,4130.26506024096,5475.31325301205,5301.36144578313,4487.06024096385,4944.60240963855,4603.07228915663,4602.86746987952,4772.61445783133,4486.97590361446,4486.97590361446,4297.69879518072,4924,4599.97590361446,3678.24096385542,4411.03614457831,5564.28915662651,4263,4074.85542168675,5456.07228915663,5449.40963855422,4419.81927710843,5049.59036144578,5000.01204819277,4323.68674698795,5122.8313253012,4630.6265060241
"12","LAYING","2",1676.83333333333,940.604166666667,998.416666666667,381.5625,2616.125,2440.97916666667,2107.04166666667,1825.8125,1568.6875,1264.08333333333,1284.4375,1885.5625,1545.85416666667,1152.79166666667,1396.9375,2126.66666666667,2126.66666666667,2325.27083333333,2188.16666666667,2488.35416666667,1897.29166666667,2118.3125,2510.25,2091.5,2251.04166666667,2405.27083333333,2486.79166666667,2403.41666666667,2108,2152.41666666667,2161.16666666667,2404.4375,2491,1849.4375,2072.83333333333,2523.3125,1493.35416666667,2365.14583333333,2358.54166666667,2050.60416666667,2197.375,2417.0625,2544.25,2386.39583333333,2090.4375,2599.95833333333,2394.04166666667,2259.625,2170.5,2170.5,2148.04166666667,2358.35416666667,2478.60416666667,1828.95833333333,2165.45833333333,2534.08333333333,2085.45833333333,2191.77083333333,2418.89583333333,2536,2376.4375,2121.27083333333,2342.08333333333,2129.29166666667,2387.25,2460.4375
"13","LAYING","20",1009.82352941176,897.661764705882,935.264705882353,380.352941176471,2765.23529411765,2149.79411764706,2047.30882352941,1707.61764705882,1444.14705882353,1250.13235294118,1436.22058823529,1974.11764705882,1648.22058823529,1239.36764705882,1502.60294117647,2071.75,2071.75,2195.95588235294,2197.36764705882,2215.23529411765,1886.02941176471,2007.75,2360.26470588235,2044.10294117647,2097.47058823529,2309.67647058824,2321.75,2131.10294117647,2106.61764705882,2009.38235294118,1981.77941176471,2233.11764705882,2144.57352941176,1840.57352941176,2006.10294117647,2358.42647058824,1577.22058823529,2407.83823529412,2308.17647058824,2001.25,2022.23529411765,2279.27941176471,2388.75,2169.92647058824,2145.10294117647,2378.44117647059,2063.69117647059,2165.14705882353,2127.30882352941,2127.30882352941,1958.76470588235,2240.60294117647,2135.89705882353,1807.70588235294,2119.89705882353,2358.33823529412,2034.47058823529,1986.77941176471,2221.98529411765,2386.58823529412,2179.70588235294,2193.80882352941,2305.30882352941,1937.55882352941,2299.33823529412,2132.07352941176
